date,day_of_week,hour,minute,place,students_count,is_holiday
2025-01-01,2,8,0,Girls Hostel,43,0
2025-01-01,2,12,45,LHC-D,50,0
2025-01-01,2,17,0,Library,32,0
2025-01-01,2,18,30,NITK Beach,25,0
2025-01-01,2,21,15,Mega Towers,15,0
2025-01-02,3,7,45,Girls Co-Op,46,0
2025-01-02,3,12,30,LHC-C,48,0
2025-01-02,3,17,45,LHC-D,38,0
2025-01-02,3,19,0,Adke Circle,22,0
2025-01-02,3,22,15,Library,11,0
2025-01-03,4,8,15,Mega Towers,55,0
2025-01-03,4,12,0,LHC-D,41,0
2025-01-03,4,16,30,LHC-C,33,0
2025-01-03,4,17,45,NITK Beach,39,0
2025-01-03,4,20,0,Adke Circle,28,0
2025-01-06,0,7,45,Mega Towers,52,0
2025-01-06,0,8,15,LHC-C,4,0
2025-01-06,0,12,30,LHC-D,49,0
2025-01-06,0,13,15,Girls Hostel,12,0
2025-01-06,0,17,30,LHC-C,35,0
2025-01-06,0,21,0,Library,18,0
2025-01-07,1,7,30,Karavali Hostel,47,0
2025-01-07,1,12,0,LHC-C,51,0
2025-01-07,1,17,15,Adke Circle,26,0
2025-01-07,1,20,30,Guest House,14,0
2025-01-07,1,22,0,Library,9,0
2025-01-08,2,8,0,Girls Hostel,41,0
2025-01-08,2,12,45,LHC-D,53,0
2025-01-08,2,17,0,Library,34,0
2025-01-08,2,18,30,NITK Beach,22,0
2025-01-08,2,21,15,Mega Towers,17,0
2025-01-09,3,7,45,Girls Co-Op,45,0
2025-01-09,3,12,30,LHC-C,49,0
2025-01-09,3,17,45,LHC-D,37,0
2025-01-09,3,19,0,Adke Circle,20,0
2025-01-09,3,22,15,Library,12,0
2025-01-10,4,8,15,Mega Towers,54,0
2025-01-10,4,12,0,LHC-D,43,0
2025-01-10,4,16,30,LHC-C,31,0
2025-01-10,4,17,45,NITK Beach,41,0
2025-01-10,4,20,0,Adke Circle,29,0
2025-01-13,0,7,45,Mega Towers,50,0
2025-01-13,0,8,15,LHC-C,5,0
2025-01-13,0,12,30,LHC-D,48,0
2025-01-13,0,13,15,Girls Hostel,14,0
2025-01-13,0,17,30,LHC-C,36,0
2025-01-13,0,21,0,Library,19,0
2025-01-14,1,7,30,Karavali Hostel,49,0
2025-01-14,1,12,0,LHC-C,53,0
2025-01-14,1,17,15,Adke Circle,27,0
2025-01-14,1,20,30,Guest House,15,0
2025-01-14,1,22,0,Library,10,0
2025-01-15,2,8,0,Girls Hostel,44,0
2025-01-15,2,12,45,LHC-D,52,0
2025-01-15,2,17,0,Library,33,0
2025-01-15,2,18,30,NITK Beach,24,0
2025-01-15,2,21,15,Mega Towers,16,0
2025-01-16,3,7,45,Girls Co-Op,48,0
2025-01-16,3,12,30,LHC-C,51,0
2025-01-16,3,17,45,LHC-D,39,0
2025-01-16,3,19,0,Adke Circle,21,0
2025-01-16,3,22,15,Library,14,0
2025-01-17,4,8,15,Mega Towers,56,0
2025-01-17,4,12,0,LHC-D,44,0
2025-01-17,4,16,30,LHC-C,32,0
2025-01-17,4,17,45,NITK Beach,40,0
2025-01-17,4,20,0,Adke Circle,30,0
2025-01-20,0,7,45,Mega Towers,53,0
2025-01-20,0,8,15,LHC-C,3,0
2025-01-20,0,12,30,LHC-D,50,0
2025-01-20,0,13,15,Girls Hostel,11,0
2025-01-20,0,17,30,LHC-C,37,0
2025-01-20,0,21,0,Library,17,0
2025-01-21,1,7,30,Karavali Hostel,46,0
2025-01-21,1,12,0,LHC-C,49,0
2025-01-21,1,17,15,Adke Circle,24,0
2025-01-21,1,20,30,Guest House,13,0
2025-01-21,1,22,0,Library,8,0
2025-01-22,2,8,0,Girls Hostel,42,0
2025-01-22,2,12,45,LHC-D,51,0
2025-01-22,2,17,0,Library,35,0
2025-01-22,2,18,30,NITK Beach,21,0
2025-01-22,2,21,15,Mega Towers,18,0
2025-01-23,3,7,45,Girls Co-Op,47,0
2025-01-23,3,12,30,LHC-C,50,0
2025-01-23,3,17,45,LHC-D,36,0
2025-01-23,3,19,0,Adke Circle,23,0
2025-01-23,3,22,15,Library,13,0
2025-01-24,4,8,15,Mega Towers,53,0
2025-01-24,4,12,0,LHC-D,42,0
2025-01-24,4,16,30,LHC-C,34,0
2025-01-24,4,17,45,NITK Beach,38,0
2025-01-24,4,20,0,Adke Circle,27,0
2025-01-27,0,7,45,Mega Towers,51,0
2025-01-27,0,8,15,LHC-C,6,0
2025-01-27,0,12,30,LHC-D,47,0
2025-01-27,0,13,15,Girls Hostel,13,0
2025-01-27,0,17,30,LHC-C,38,0
2025-01-27,0,21,0,Library,20,0
2025-01-28,1,7,30,Karavali Hostel,48,0
2025-01-28,1,12,0,LHC-C,52,0
2025-01-28,1,17,15,Adke Circle,25,0
2025-01-28,1,20,30,Guest House,16,0
2025-01-28,1,22,0,Library,11,0
2025-01-29,2,8,0,Girls Hostel,45,0
2025-01-29,2,12,45,LHC-D,54,0
2025-01-29,2,17,0,Library,31,0
2025-01-29,2,18,30,NITK Beach,23,0
2025-01-29,2,21,15,Mega Towers,14,0
2025-01-30,3,7,45,Girls Co-Op,44,0
2025-01-30,3,12,30,LHC-C,52,0
2025-01-30,3,17,45,LHC-D,35,0
2025-01-30,3,19,0,Adke Circle,24,0
2025-01-30,3,22,15,Library,15,0
2025-01-31,4,8,15,Mega Towers,57,0
2025-01-31,4,12,0,LHC-D,45,0
2025-01-31,4,16,30,LHC-C,30,0
2025-01-31,4,17,45,NITK Beach,37,0
2025-01-31,4,20,0,Adke Circle,31,0
2025-02-03,0,7,45,Mega Towers,54,0
2025-02-03,0,8,15,LHC-C,2,0
2025-02-03,0,12,30,LHC-D,51,0
2025-02-03,0,13,15,Girls Hostel,10,0
2025-02-03,0,17,30,LHC-C,34,0
2025-02-03,0,21,0,Library,16,0
2025-02-04,1,7,30,Karavali Hostel,50,0
2025-02-04,1,12,0,LHC-C,54,0
2025-02-04,1,17,15,Adke Circle,28,0
2025-02-04,1,20,30,Guest House,12,0
2025-02-04,1,22,0,Library,12,0
2025-02-05,2,8,0,Girls Hostel,40,0
2025-02-05,2,12,45,LHC-D,49,0
2025-02-05,2,17,0,Library,36,0
2025-02-05,2,18,30,NITK Beach,26,0
2025-02-05,2,21,15,Mega Towers,19,0
2025-02-06,3,7,45,Girls Co-Op,49,0
2025-02-06,3,12,30,LHC-C,47,0
2025-02-06,3,17,45,LHC-D,40,0
2025-02-06,3,19,0,Adke Circle,19,0
2025-02-06,3,22,15,Library,10,0
2025-02-07,4,8,15,Mega Towers,52,0
2025-02-07,4,12,0,LHC-D,40,0
2025-02-07,4,16,30,LHC-C,35,0
2025-02-07,4,17,45,NITK Beach,42,0
2025-02-07,4,20,0,Adke Circle,26,0
2025-02-10,0,7,45,Mega Towers,49,0
2025-02-10,0,8,15,LHC-C,7,0
2025-02-10,0,12,30,LHC-D,52,0
2025-02-10,0,13,15,Girls Hostel,15,0
2025-02-10,0,17,30,LHC-C,39,0
2025-02-10,0,21,0,Library,21,0
2025-02-11,1,7,30,Karavali Hostel,45,0
2025-02-11,1,12,0,LHC-C,48,0
2025-02-11,1,17,15,Adke Circle,23,0
2025-02-11,1,20,30,Guest House,17,0
2025-02-11,1,22,0,Library,7,0
2025-02-12,2,8,0,Girls Hostel,46,0
2025-02-12,2,12,45,LHC-D,55,0
2025-02-12,2,17,0,Library,30,0
2025-02-12,2,18,30,NITK Beach,20,0
2025-02-12,2,21,15,Mega Towers,13,0
2025-02-13,3,7,45,Girls Co-Op,43,0
2025-02-13,3,12,30,LHC-C,53,0
2025-02-13,3,17,45,LHC-D,34,0
2025-02-13,3,19,0,Adke Circle,25,0
2025-02-13,3,22,15,Library,16,0
2025-02-14,4,8,15,Mega Towers,58,0
2025-02-14,4,12,0,LHC-D,46,0
2025-02-14,4,16,30,LHC-C,29,0
2025-02-14,4,17,45,NITK Beach,36,0
2025-02-14,4,20,0,Adke Circle,32,0
